"ensembl_gene_id" "gene_name"
"ENSG00000047578" "KATNIP"
"ENSG00000180720" "CHRM4"
"ENSG00000083457" "ITGAE"
"ENSG00000262692" ""
"ENSG00000115290" "GRB14"
"ENSG00000229672" ""
"ENSG00000115350" "POLE4"
"ENSG00000172081" "MOB3A"
"ENSG00000258472" ""
"ENSG00000109107" "ALDOC"
"ENSG00000075651" "PLD1"
"ENSG00000143373" "ZNF687"
"ENSG00000232671" "ZNF687-AS1"
"ENSG00000175063" "UBE2C"
"ENSG00000113578" "FGF1"
"ENSG00000231185" "SPRY4-AS1"
"ENSG00000267254" "ZNF790-AS1"
"ENSG00000146700" "SSC4D"
"ENSG00000188372" "ZP3"
"ENSG00000130701" "RBBP8NL"
"ENSG00000233017" ""
"ENSG00000095951" "HIVEP1"
"ENSG00000181035" "SLC25A42"
"ENSG00000272068" "BCAN-AS1"
"ENSG00000132692" "BCAN"
"ENSG00000272405" ""
"ENSG00000103335" "PIEZO1"
"ENSG00000133302" "SLF1"
"ENSG00000270133" ""
"ENSG00000185261" "KIAA0825"
"ENSG00000101298" "SNPH"
"ENSG00000244588" "RAD21L1"
"ENSG00000173473" "SMARCC1"
"ENSG00000176387" "HSD11B2"
"ENSG00000176715" "ACSF3"
"ENSG00000112699" "GMDS"
"ENSG00000175806" "MSRA"
"ENSG00000071626" "DAZAP1"
"ENSG00000268006" "PTOV1-AS1"
"ENSG00000104960" "PTOV1"
"ENSG00000257817" ""
"ENSG00000155666" "KDM8"
"ENSG00000248905" "FMN1"
"ENSG00000162745" "OLFML2B"
"ENSG00000133315" "MACROD1"
"ENSG00000260870" "NDUFB10P1"
"ENSG00000196220" "SRGAP3"
"ENSG00000106263" "EIF3B"
"ENSG00000102935" "ZNF423"
"ENSG00000253313" "C1orf210"
"ENSG00000258377" ""
"ENSG00000168282" "MGAT2"
"ENSG00000165502" "RPL36AL"
"ENSG00000166689" "PLEKHA7"
"ENSG00000131653" "TRAF7"
"ENSG00000197536" "IRF1-AS1"
"ENSG00000198668" "CALM1"
"ENSG00000185813" "PCYT2"
"ENSG00000250754" "LINC02436"
"ENSG00000140939" "NOL3"
"ENSG00000185220" "PGBD2"
"ENSG00000283128" ""
"ENSG00000216895" ""
"ENSG00000184863" "RBM33"
"ENSG00000125107" "CNOT1"
"ENSG00000256806" "C17orf100"
"ENSG00000274114" "ALOX15P1"
"ENSG00000067715" "SYT1"
"ENSG00000273433" ""
"ENSG00000254369" "HOXA-AS3"
"ENSG00000106004" "HOXA5"
"ENSG00000105997" "HOXA3"
"ENSG00000288043" ""
"ENSG00000146360" "GPR6"
"ENSG00000149488" "TMC2"
"ENSG00000170421" "KRT8"
"ENSG00000145819" "ARHGAP26"
"ENSG00000167965" "MLST8"
"ENSG00000116962" "NID1"
"ENSG00000171680" "PLEKHG5"
"ENSG00000172878" "METAP1D"
"ENSG00000115840" "SLC25A12"
"ENSG00000127824" "TUBA4A"
"ENSG00000135924" "DNAJB2"
"ENSG00000256661" "A2ML1-AS1"
"ENSG00000166535" "A2ML1"
"ENSG00000117450" "PRDX1"
"ENSG00000258740" ""
"ENSG00000258820" ""
"ENSG00000025772" "TOMM34"
"ENSG00000101104" "PABPC1L"
"ENSG00000130226" "DPP6"
"ENSG00000125912" "NCLN"
"ENSG00000248994" ""
"ENSG00000246130" ""
"ENSG00000120889" "TNFRSF10B"
"ENSG00000079215" "SLC1A3"
"ENSG00000104897" "SF3A2"
"ENSG00000163347" "CLDN1"
"ENSG00000163935" "SFMBT1"
"ENSG00000272305" ""
"ENSG00000280417" ""
"ENSG00000134954" "ETS1"
"ENSG00000224265" "LINC02633"
"ENSG00000261396" ""
"ENSG00000039523" "RIPOR1"
"ENSG00000119946" "CNNM1"
"ENSG00000113448" "PDE4D"
"ENSG00000103222" "ABCC1"
"ENSG00000128652" "HOXD3"
"ENSG00000228412" "LNC-LBCS"
"ENSG00000172201" "ID4"
"ENSG00000067606" "PRKCZ"
"ENSG00000118292" "C1orf54"
"ENSG00000244242" "IFITM10"
"ENSG00000250644" ""
"ENSG00000110660" "SLC35F2"
"ENSG00000115526" "CHST10"
"ENSG00000007314" "SCN4A"
"ENSG00000168916" "ZNF608"
"ENSG00000116604" "MEF2D"
"ENSG00000141556" "TBCD"
"ENSG00000242262" ""
"ENSG00000145244" "CORIN"
"ENSG00000048740" "CELF2"
"ENSG00000124782" "RREB1"
"ENSG00000177380" "PPFIA3"
"ENSG00000163435" "ELF3"
"ENSG00000249007" ""
"ENSG00000168918" "INPP5D"
"ENSG00000188916" "INSYN2A"
"ENSG00000150760" "DOCK1"
"ENSG00000128342" "LIF"
"ENSG00000168646" "AXIN2"
"ENSG00000266076" ""
"ENSG00000115944" "COX7A2L"
"ENSG00000135698" "MPHOSPH6"
"ENSG00000261029" "MPHOSPH6-DT"
"ENSG00000100416" "TRMU"
"ENSG00000164627" "KIF6"
"ENSG00000230131" "LINC02641"
"ENSG00000114279" "FGF12"
"ENSG00000242337" "INHCAP"
"ENSG00000120054" "CPN1"
"ENSG00000128253" "RFPL2"
"ENSG00000285218" ""
"ENSG00000285051" "SLC7A14-AS1"
"ENSG00000013293" "SLC7A14"
"ENSG00000180875" "GREM2"
"ENSG00000103018" "CYB5B"
"ENSG00000260108" ""
"ENSG00000136059" "VILL"
"ENSG00000114854" "TNNC1"
"ENSG00000010322" "NISCH"
"ENSG00000273167" ""
"ENSG00000182957" "SPATA13"
"ENSG00000134986" "NREP"
"ENSG00000225407" ""
"ENSG00000181104" "F2R"
"ENSG00000285733" ""
"ENSG00000285887" ""
"ENSG00000109205" "ODAM"
"ENSG00000273706" "LHX1"
"ENSG00000276707" ""
"ENSG00000280607" ""
"ENSG00000103495" "MAZ"
"ENSG00000259952" ""
"ENSG00000236790" "LINC00299"
"ENSG00000235665" "LINC00298"
"ENSG00000184743" "ATL3"
"ENSG00000176092" "CRYBG2"
"ENSG00000225533" "PAWRP1"
"ENSG00000257261" ""
"ENSG00000233806" "LINC01237"
"ENSG00000216921" "FAM240C"
"ENSG00000236526" ""
"ENSG00000132640" "BTBD3"
"ENSG00000168143" "FAM83B"
"ENSG00000145703" "IQGAP2"
"ENSG00000133612" "AGAP3"
"ENSG00000151532" "VTI1A"
"ENSG00000203809" "LIN28B-AS1"
"ENSG00000187772" "LIN28B"
"ENSG00000269821" "KCNQ1OT1"
"ENSG00000053918" "KCNQ1"
"ENSG00000258818" "RNASE4"
"ENSG00000259171" ""
"ENSG00000214274" "ANG"
"ENSG00000287539" ""
"ENSG00000184719" "RNLS"
"ENSG00000073282" "TP63"
"ENSG00000186854" "TRABD2A"
"ENSG00000259275" ""
"ENSG00000078070" "MCCC1"
"ENSG00000008283" "CYB561"
"ENSG00000083093" "PALB2"
"ENSG00000166847" "DCTN5"
"ENSG00000183044" "ABAT"
"ENSG00000174640" "SLCO2A1"
"ENSG00000176248" "ANAPC2"
"ENSG00000176101" "SSNA1"
"ENSG00000105810" "CDK6"
"ENSG00000059691" "GATB"
"ENSG00000262668" ""
"ENSG00000244161" "FLNB-AS1"
"ENSG00000136068" "FLNB"
"ENSG00000114383" "TUSC2"
"ENSG00000068001" "HYAL2"
"ENSG00000029534" "ANK1"
"ENSG00000173786" "CNP"
"ENSG00000204815" "ODAD4"
"ENSG00000286445" ""
"ENSG00000107789" "MINPP1"
"ENSG00000126464" "PRR12"
"ENSG00000174473" "GALNTL6"
"ENSG00000169208" "OR10G3"
"ENSG00000243797" ""
"ENSG00000253276" "CCDC71L"
"ENSG00000175077" "RTP1"
"ENSG00000198491" ""
"ENSG00000255545" "B3GAT1-DT"
"ENSG00000269961" "ERBIN-DT"
"ENSG00000112851" "ERBIN"
"ENSG00000145780" "FEM1C"
"ENSG00000168610" "STAT3"
"ENSG00000172301" "COPRS"
"ENSG00000286070" ""
"ENSG00000178026" "LRRC75B"
"ENSG00000258122" ""
"ENSG00000159593" "NAE1"
"ENSG00000168748" "CA7"
"ENSG00000039319" "ZFYVE16"
"ENSG00000138741" "TRPC3"
"ENSG00000170017" "ALCAM"
"ENSG00000187288" "CIDEC"
"ENSG00000153234" "NR4A2"
"ENSG00000149485" "FADS1"
"ENSG00000134824" "FADS2"
"ENSG00000169554" "ZEB2"
"ENSG00000140830" "TXNL4B"
"ENSG00000140829" "DHX38"
"ENSG00000217702" ""
"ENSG00000108960" "MMD"
"ENSG00000267223" ""
"ENSG00000120708" "TGFBI"
"ENSG00000134874" "DZIP1"
"ENSG00000066735" "KIF26A"
"ENSG00000224743" "TEX26-AS1"
"ENSG00000175664" "TEX26"
"ENSG00000131323" "TRAF3"
"ENSG00000163697" "APBB2"
"ENSG00000263843" "MIF4GD-DT"
"ENSG00000125457" "MIF4GD"
"ENSG00000155034" "FBXL18"
"ENSG00000234602" "MCIDAS"
"ENSG00000155066" "PROM2"
"ENSG00000169184" "MN1"
"ENSG00000122679" "RAMP3"
"ENSG00000175602" "CCDC85B"
"ENSG00000060971" "ACAA1"
"ENSG00000172936" "MYD88"
"ENSG00000261487" ""
"ENSG00000175938" "ORAI3"
"ENSG00000099364" "FBXL19"
"ENSG00000119242" "CCDC92"
"ENSG00000157916" "RER1"
"ENSG00000187775" "DNAH17"
